T in K,cp in J/kg/K
99.7230,226.921
120.776,269.993
146.260,320.420
172.853,368.746
209.418,407.617
252.632,442.285
310.249,464.347
368.975,490.611
421.053,512.672
469.806,534.734
514.127,554.695
561.108,572.554
608.975,591.884
655.069,612.896
703.823,637.269
755.235,664.163
799.557,697.781
842.992,725.515
879.335,756.612
911.247,801.156
942.271,856.625
970.637,907.052
991.911,942.351
1007.87,1028.08
1032.69,1412.16
1051.30,1370.98
1060.17,1190.28
1073.46,1061.69
1079.67,993.618
1086.76,865.870
1099.17,786.028
1172.74,623.821
1212.63,621.300
1260.50,633.066
1354.46,649.875
1440.44,657.439
1509.58,680.131
1566.32,683.493
1642.55,710.387
1662.05,735.601
1803.88,815.443
1859.72,837.295
1996.23,851.582
