,mean,median,std,min,max,shape,scale,fit_mean,fit_std
R1-R2,6.633088235294117,6.4,1.4713880717777936,5.115,15.955,8.212076606931323,6.543488941792737,6.170060604159991,0.8933181077971979
R2-R3,4.435441176470588,4.25,0.9950518381809321,3.04,11.1,7.705520404644943,4.4078800616070435,4.143457655163212,0.6366700527302265
R3-R4,5.988014705882352,5.609999999999999,2.192780069367726,4.015,21.0,7.029719925823995,5.623388815870952,5.261486944050435,0.880575039456848
R4-R5,5.654852941176471,5.6625,0.4705260398429877,4.745,7.115,13.79955084658927,5.710759969584287,5.499719941542861,0.4871910449321264
R5-R6,5.044558823529411,5.02,0.5669022496579565,3.635,6.03,8.707139722434162,5.2761682018765965,4.9887862155111895,0.6837388113672725
R6-R7,5.195588235294117,5.085,0.5889692041538467,4.235,8.095,16.114620753597485,5.0852506475569506,4.921435439816413,0.37570392430653293
R7-R8,6.435882352941176,6.109999999999999,1.5572301139342362,4.705,13.17,8.14655341172562,6.16113420821255,5.807294609774762,0.8471209785276922
R8-R9,6.080735294117647,5.88,0.7230920673332067,4.745,8.26,14.631002668922594,5.900644334680152,5.693526357268107,0.4768807619283579
R9-R10,7.008235294117648,7.005,0.7751936516391909,5.26,9.215,11.127372714990338,7.139706766585936,6.8220938216848825,0.741850795484584
R10-F1,9.233308823529413,9.1775,0.39901428012275303,8.29,10.385,37.73572972341431,9.203395531031152,9.06885927468812,0.3025292133290046
all,5.830710784313726,5.65,1.4036215525782694,3.04,21.0,5.919328718059697,5.878016973959049,5.449056217089841,1.0691321780470218
