index,2022-09-26_01,2022-09-26_02,2022-09-26_03,2022-09-26_04,2022-10-06_01,2022-10-06_02,2022-10-06_03,2022-10-06_04,2022-10-07_01,2022-10-07_02,2022-10-07_03,2022-10-07_04,2022-10-20_01,2022-10-20_02,2022-10-20_03,2022-10-20_04,2022-10-20_05,2022-10-20_06,2022-10-20_07,2022-10-20_08,2022-10-20_09,2022-10-20_10,2022-10-20_11,2022-10-20_12,2022-10-20_13,2022-10-20_14,2022-10-20_15,2022-10-20_16,2022-10-20_17,mean,std
R1-R2,6.84,7.575,6.86,6.855,12.2,6.33,11.95,9.995,6.52,7.1,7.1,7.7,7.69,6.8,6.93,4.84,5.035,5.26,7.12,6.545,5.91,7.135,7.08,6.43,6.77,7.055,5.295,5.215,5.22,7.012241379310345,1.7145058533135349
R2-R3,4.105,4.035,4.24,3.955,7.05,5.565,5.47,4.9,10.82,5.02,4.395,3.94,5.095,4.21,4.64,4.005,4.245,4.41,4.75,3.88,4.565,3.99,3.94,4.62,4.185,4.8,4.64,4.035,4.285,4.751379310344827,1.3191656823549394
R3-R4,4.3,4.025,4.135,4.09,6.905,6.605,7.36,11.295,8.595,11.405,6.395,6.36,5.65,5.055,5.81,5.64,5.005,4.13,5.455,5.71,5.185,5.365,7.86,5.545,6.245,5.865,5.78,5.37,5.12,6.077931034482759,1.7920078881260055
R4-R5,6.075,5.26,4.75,4.305,6.92,6.495,7.395,6.36,5.865,5.695,5.835,5.43,,,,5.21,5.625,5.08,,5.55,5.62,,,,,8.035,6.01,5.02,5.395,5.8061904761904755,0.8523397835229586
R5-R6,5.12,4.65,4.85,4.915,8.11,6.44,7.88,7.1,5.405,5.955,6.675,5.27,,,,8.44,7.39,6.44,,10.385,8.77,,,,,9.615,7.765,6.575,6.74,6.880476190476189,1.5674273012395827
R6-R7,4.61,4.255,3.76,4.145,5.095,5.445,5.89,6.055,5.435,5.25,5.265,5.175,,,,,,,,,,,,,,,,,,5.031666666666666,0.6725862191735883
R7-R8,4.855,5.21,5.21,5.115,8.57,6.635,16.67,8.075,8.895,6.295,5.865,5.28,,,,,,,,,,,,,,,,,,7.222916666666666,3.156520670462267
R8-R9,6.0,5.47,5.585,5.495,6.63,7.76,7.68,6.615,5.985,5.68,5.115,5.52,,,,,,,,,,,,,,,,,,6.127916666666667,0.8328251575544265
R9-R10,5.05,5.285,4.475,4.34,10.365,6.98,16.185,14.005,31.575,8.375,9.34,9.695,,,,,,,,,,,,,,,,,,10.472499999999998,7.2961954983402135
R10-F1,9.305,8.13,9.605,7.995,16.4,11.635,19.15,12.6,12.78,10.465,10.205,11.23,,,,,,,,,,,,,,,,,,11.625,3.163380970839058
F1-F2,0.29,0.16,0.29,0.155,0.11,0.165,0.115,0.12,0.115,0.085,0.15,0.15,,,,0.125,0.125,0.12,,0.135,0.13,,,,,0.14,0.13,0.125,0.13,0.14595238095238094,0.05008609367923746
F2-F3,0.235,0.36,0.235,0.365,0.105,0.13,0.105,0.095,0.105,0.12,0.135,0.135,,,,0.11,0.105,0.1,,0.11,0.11,,,,,0.105,0.105,0.11,0.11,0.14714285714285713,0.079291076609742
F3-F4,0.175,0.18,0.18,0.18,0.08,0.085,0.08,0.08,0.085,0.085,0.085,0.085,,,,0.09,0.095,0.095,,0.095,0.09,,,,,0.09,0.09,0.09,0.09,0.10499999999999998,0.03605551275463989
R6-F1,,,,,,,,,,,,,,,,9.105,8.54,7.97,,9.095,9.03,,,,,7.99,8.485,8.085,8.05,8.483333333333333,0.461398839279954
